time,epoch,batch,sample,train avg loss
0min22sec,18,650,2600,0.623
0min22sec,18,700,2800,0.627
0min22sec,19,50,200,0.724
0min22sec,19,100,400,0.688
0min22sec,19,150,600,0.668
0min22sec,19,200,800,0.685
0min22sec,19,250,1000,0.663
0min22sec,19,300,1200,0.674
0min22sec,19,350,1400,0.667
0min22sec,19,400,1600,0.657
0min22sec,19,450,1800,0.653
0min22sec,19,500,2000,0.648
0min22sec,19,550,2200,0.652
0min22sec,19,600,2400,0.648
0min22sec,19,650,2600,0.642
0min22sec,19,700,2800,0.637
